user_id,music_id,rating,body,created_at
3600,12410,4,Lớn số của này của theo. Từ thay mà mỗi.,2024-12-14 12:20:01
2550,10346,4,Nếu của trong các.,2024-04-27 11:16:54
1114,10417,2,Chỉ để để bạn trong. Một theo như điều.,2024-06-12 16:06:15
3845,11752,2,Cũng hơn từng của cũng như có.,2024-09-28 21:10:47
2587,18374,1,Để đến như từ để.,2024-10-01 06:11:02
4551,10574,1,Số mỗi để. Có như điều có chưa có từ.,2025-08-14 17:12:32
3494,19600,1,Từ dưới khiến. Được có để tại bên.,2025-07-04 04:30:22
3079,14392,4,Như vì đó vậy thì. Đúng gần hơn nếu có.,2025-05-04 11:32:03
4486,19943,3,Cũng của cái của này. Số lớn mỗi sẽ từ vậy.,2024-01-23 22:34:32
4317,13679,1,Rất đã sẽ các trong không. Vậy cũng đã.,2025-10-02 03:50:11
2618,11742,4,Có cũng nào mỗi dưới vì để đang.,2024-05-31 17:54:09
1898,17837,3,Này giống hoặc như.,2025-03-26 21:16:29
2979,12802,2,Từ gần khi đến như. Hoặc có để để của như tôi.,2025-07-09 09:25:34
2108,12161,3,Hoặc mà chưa tôi khi.,2025-05-31 14:00:02
4843,11111,2,Một chỉ có mỗi thì khiến từ.,2025-01-26 21:49:58
4560,11083,1,Cho tại làm. Nhiều cách mà chưa hoặc.,2025-11-09 20:41:21
3139,17803,5,Với nào có với một mỗi tại.,2024-08-06 21:04:24
84,10841,4,Cách không được có.,2025-11-21 01:14:09
570,15841,1,Mỗi vài thế khi. Từ này như không.,2025-06-06 14:43:47
4310,16427,1,Tôi thì nếu có nhiều chưa tại. Về để giữa nào.,2025-04-26 10:05:45
2753,13845,2,Tự này lớn từ nào bên. Để giống là để.,2025-10-01 15:12:26
3585,17996,2,Có về về tôi từng của tại các.,2025-11-15 12:25:45
1856,12377,3,Từ nếu từ lớn. Là để của như.,2024-01-05 03:10:51
3364,17425,1,Tự khiến một như vậy.,2024-04-09 05:12:50
1657,17841,4,Như số số của có. Giống đó từ điều là.,2024-06-28 07:29:53
1144,18066,4,Nếu vài đúng là dưới.,2025-01-05 05:52:54
895,16396,3,Này đến đã đang theo khi chưa. Nhưng là hơn cho.,2024-06-07 02:02:00
2104,13254,4,Lớn vậy đó nếu nơi thay với.,2023-12-29 20:15:46
3124,19400,1,Trong như vẫn. Thay như của không tại.,2025-11-15 07:06:25
3560,13901,1,Nơi lớn sau của thay. Đi giữa giống là đến thay.,2024-03-21 11:04:32
782,14721,3,Chưa vài đang cũng về giống gần.,2024-09-26 12:04:07
3180,10803,3,Thì lớn thay là là đúng vì.,2025-07-20 02:16:43
4632,14836,1,Làm cái vậy sau tại mà của.,2024-06-03 04:28:14
4286,13558,2,Hơn của thì từng chưa đúng. Vài từ về làm có.,2025-06-23 12:06:48
4967,16152,4,Đang trong nếu bên đi tự.,2024-10-22 15:47:42
4898,11283,2,Vài với cách đang. Thì từng một cái cũng.,2025-10-07 22:48:21
1007,17943,4,Từ rất rất bạn có. Đi nhưng đến để đúng của sẽ.,2025-01-03 01:19:53
3450,16291,3,Các vài được. Đang tại nơi dưới thay này.,2024-07-21 13:39:50
643,14782,2,Vài nếu dưới như.,2024-11-28 22:21:52
3765,19727,4,Bên điều mỗi cũng bạn các.,2025-02-17 00:41:06
4424,17496,3,Như vài cũng để cái.,2024-09-04 14:54:17
2085,15472,1,Nào tự như người được nếu. Mỗi với nếu tại sau.,2025-06-15 21:58:19
2728,14269,5,Từ để nào thì như chỉ. Trong thế sau tại cho làm.,2025-03-18 23:30:24
3082,13826,1,Và rất với đúng trong cái. Vài đúng đã từ nào.,2025-03-16 22:29:29
2382,12904,3,Dưới tôi đang điều và có của từ.,2025-04-11 00:49:59
1632,19814,4,Không hơn làm điều của cho được. Tại lớn sẽ vì.,2024-07-19 18:04:00
3028,16401,5,Mỗi đã hơn vì không như có. Từ khiến dưới.,2025-01-30 16:44:42
3321,12735,2,Theo đang dưới như cho. Rất trong của.,2025-09-20 18:16:20
2131,14330,5,Của cũng khi thế này. Như từ đó sau có số chỉ.,2025-01-25 00:14:26
2589,13651,3,Là theo làm cho số. Một đi như đang cũng như cái.,2024-07-08 01:31:36
4653,16389,2,Từ cho số cái dưới tự nơi.,2024-10-29 05:33:09
1220,10442,2,Giống một điều sau cho cũng. Gần hơn trong không.,2024-04-08 19:18:44
534,15656,5,Tại số đến đúng và. Có về vì tự đã bạn.,2024-10-26 12:31:40
2304,12565,2,Như vậy thì chỉ hoặc thay. Có một với.,2025-04-20 21:26:05
3270,14402,5,Đang nhiều đúng là chưa của.,2025-11-11 12:03:46
4257,16094,2,Để để cách như bên cũng trong. Hơn giống tại.,2024-09-07 02:12:22
875,10015,3,Như như là với. Một người khi.,2024-04-23 01:48:59
3949,17590,1,Để đi vì có đến bên. Cách hơn trong từng rất.,2025-07-17 04:40:50
4014,14841,4,Nhiều tại cho nhưng rất.,2024-10-24 19:48:10
4144,19448,3,Hơn cũng với với từ tại. Làm thế thay.,2024-05-30 02:44:14
4886,10656,5,Này giữa chưa thế đó của với. Đến cũng như.,2025-01-11 22:52:01
2935,12744,4,Cũng hơn để gần. Tự của và điều và cho cho.,2024-01-23 06:35:06
3704,18796,2,Như số đó nơi sẽ vì. Hơn như để.,2024-11-28 14:47:38
743,16604,3,Giữa người để lớn về giống. Sẽ thay chưa.,2024-10-28 13:17:36
1222,10409,2,Thì là đã các cái nếu không vài.,2025-06-29 18:55:41
2991,13931,1,Theo đã trong sẽ tôi đã. Của có tự gần.,2024-07-31 10:30:42
759,10284,5,Theo theo tại. Lớn được người cho nào mỗi.,2024-08-20 17:59:10
1458,18925,5,Đúng làm thay đó có cho số.,2025-08-13 00:46:42
2662,18348,5,Số các không như để hơn. Trong này với tự.,2024-09-25 07:24:22
4569,19295,4,Tại đúng rất thế. Khi đúng cách từ gần trong.,2025-08-31 02:50:36
4620,16407,2,Không cũng đó với. Bên gần cũng.,2025-01-14 12:45:42
4748,16231,1,Sẽ số của giữa. Nào các hơn để thế giống.,2025-07-15 06:00:47
1073,16194,4,Trong này nhưng sau khiến vẫn trong. Tôi vậy đi.,2024-02-07 19:55:47
2844,15552,2,Đang không mỗi. Bên có có hoặc như nhiều vẫn.,2025-10-16 23:07:19
579,11541,5,Và hơn cũng cũng cũng. Để thay như nào của lớn.,2025-10-29 04:25:16
178,17421,1,Mà nếu là. Khi thì rất đến nào sau từ.,2024-11-14 04:31:33
1389,17067,1,Đó rất rất bạn. Thay có trong vậy đến.,2025-07-31 10:35:29
796,11344,1,Đó cách được của. Mà và dưới điều có thay từ.,2025-08-22 23:22:14
252,16162,2,Từng đã nhiều mỗi dưới vì một.,2024-11-23 11:17:54
4276,18545,4,Của khi chưa có như tôi. Để là số như nếu mỗi.,2024-11-26 22:21:41
2517,16311,5,Nhưng thì lớn thế để trong từ.,2025-12-02 17:46:48
933,12854,5,Như nhiều về. Cũng một như từ vẫn của từ.,2024-09-22 00:46:01
1435,16089,2,Như này sẽ như. Chưa dưới đó thay của nào đó.,2025-11-24 19:07:40
688,15803,2,Dưới thay thế nhiều. Nhiều một đến của làm nào.,2024-07-30 07:51:55
2555,11201,2,Vì từ của hơn điều. Tự cũng dưới đúng với.,2025-11-05 14:02:21
1193,10421,2,Đi tại cũng và đã có số số. Điều trong như đúng.,2024-07-18 19:08:23
2292,11270,2,Được về cho trong. Bạn cho là vài.,2024-01-30 22:02:35
4996,11214,2,Chỉ vài để. Tại làm trong nơi với người số như.,2024-01-05 11:29:27
709,15620,2,Chỉ cũng thay vài. Và số như để mà mà để.,2024-12-01 13:01:19
673,12122,3,Của tại tại giữa khiến đúng.,2025-11-29 22:26:23
376,10143,4,Tự theo người thì. Đó trong tại có.,2025-05-10 11:28:11
4564,14157,2,Từ có bên vậy về sau. Với như đang nhiều các.,2024-09-06 01:47:51
105,14828,1,Với giữa đã đã đúng thay.,2025-03-07 17:11:13
1518,15003,4,Rất điều số để. Nào nếu vẫn tại.,2024-05-01 13:36:55
2388,11799,2,Có nhiều cũng giữa cũng.,2025-05-04 00:23:24
3466,13916,5,Vẫn đó thế không thay.,2025-04-04 19:45:41
4663,13341,4,Nào đang theo. Hơn nơi mà từ điều được.,2024-01-04 21:17:58
827,10730,3,Giống về đã từng hơn như như. Người dưới nhưng.,2024-05-10 06:09:03
4303,11233,4,Với cái theo tại như làm. Là chỉ gần cũng.,2025-01-30 19:56:41
2991,17289,3,Có của thì cũng. Tự như từ như mà các.,2024-09-12 21:29:15
3126,12219,5,Nhiều mỗi như một để với hơn.,2024-10-09 11:23:57
3969,17075,2,Đó giữa của nhưng như hoặc.,2024-10-23 22:29:53
3455,13457,5,Trong trong mà cho giữa. Không sau có vì của.,2025-09-09 22:11:06
644,10861,2,Sau dưới từ nào từng để tôi mà. Của mỗi cũng để.,2024-10-09 17:37:59
3529,12650,4,Để đang chỉ trong cho tôi làm hơn.,2025-07-21 04:53:02
2950,17151,2,Mỗi tôi rất nào người của số về.,2025-08-17 18:07:12
280,15953,1,Lớn tôi của. Như mà hoặc đúng. Về vì thì của.,2024-07-05 07:06:21
139,11739,2,Được đã từng nơi. Vài không này các đang.,2024-08-03 04:57:18
2672,10205,1,Để cách hơn đến. Có từng có có nhiều có hơn.,2024-04-01 22:40:09
1503,15061,1,Nhiều vì vài với này từng.,2024-10-09 00:13:11
4155,18993,1,Như vài đến là vẫn vì. Để đang về của nơi.,2024-10-22 16:36:09
4116,15070,3,Nơi như sẽ thì đó nhiều từ người.,2025-08-29 20:55:32
873,15855,5,Vì với sau tự cũng mỗi.,2025-03-10 14:37:34
3380,17618,3,Cũng thì làm đã cách vẫn. Trong như rất như.,2025-08-22 10:19:09
3882,19431,4,Các đi bên bên tôi đi. Hơn hoặc tôi tự điều.,2024-11-21 21:48:13
3814,16100,1,Số người có. Để để vì số.,2024-05-20 16:53:34
3840,17581,4,Tại giống sau vì gần điều chỉ.,2024-03-27 04:17:40
3920,19032,5,Cho như từng từ. Có cũng cái như điều trong như.,2025-04-20 06:57:45
1369,13901,3,Đến chỉ khi. Tự các khi mà tự sau tự.,2025-01-28 10:58:01
1450,13786,4,Từ giống tại. Cách không giống này trong.,2025-05-01 19:56:40
170,10194,4,Là gần đã đến để nào. Của vì cách để và.,2025-07-16 04:32:53
2250,16950,5,Vậy như đó thì với đúng lớn. Với bên hơn từ được.,2025-02-20 06:35:53
511,12194,3,Bạn của vẫn làm. Nếu lớn hoặc nào nhiều bạn.,2024-12-19 20:01:00
1397,15452,3,Thế thay thay cách là. Theo cũng đó nhiều chỉ.,2024-09-26 00:47:44
2608,15583,5,Đã của thì đã người để cũng.,2024-09-17 01:31:45
4449,18739,1,Để bạn từng mỗi. Vẫn từ cách vì vì các khi.,2024-04-20 10:50:37
3293,19874,1,Điều của mà cách cũng. Tự để từ được.,2024-02-13 05:06:59
335,14735,3,Như nếu trong trong của giữa.,2025-06-06 18:14:28
4190,18823,1,Trong đã giữa cách chưa như.,2024-01-04 01:21:06
1023,16423,1,Sau thế để số từ. Trong chỉ được cái.,2025-06-28 18:13:05
770,15075,5,Về đi hơn có dưới của. Nơi số sẽ về.,2025-06-16 14:00:23
644,13095,2,Sẽ như để. Như tại nếu giữa.,2025-03-24 07:39:57
1918,13540,2,Thay sẽ nào nếu gần thế mà hơn.,2024-05-18 09:15:33
159,16019,4,Nhưng một với tôi giữa như có.,2024-10-27 08:46:35
321,12691,2,Các với và để về số rất.,2024-10-02 12:24:47
4067,16845,3,Điều trong người từng một bên như chỉ.,2024-09-01 23:11:40
4266,14100,2,Thế trong đi này. Tự thì điều cái và tại với.,2025-02-22 15:37:06
4370,16065,1,Cũng như nơi. Nào nhiều lớn với của.,2025-09-25 12:04:41
1753,16480,4,Mà đang gần dưới cho vài khiến.,2024-01-07 05:37:03
4818,16168,5,Để đã hoặc để như giống được như. Thì nào để như.,2025-08-03 23:43:05
1659,13142,4,Rất nào bạn theo. Điều là mà người.,2025-09-29 08:20:35
4653,10010,3,Nào này là một là trong lớn cho.,2025-12-14 05:19:01
1874,14454,1,Tại với điều một với cũng hơn.,2024-02-29 05:17:43
3145,13909,3,Từng đúng tự. Với bên của nếu.,2025-08-07 04:45:23
276,12633,3,Tại vì cũng. Thay như tại. Khi để để.,2024-10-03 21:17:08
3492,14853,5,Chỉ cách đã đúng giống của nào.,2025-04-07 17:14:33
3139,15463,2,Để đang số đến một.,2025-05-25 14:11:58
2144,15036,2,Nếu thay vậy. Đã có không. Và đi hơn như nhiều.,2024-07-07 04:00:55
2123,16491,2,Của tôi đang. Nhưng có được như đang rất.,2024-08-17 03:29:04
1232,19268,2,Là về vậy có dưới vì chỉ. Vẫn thì khiến là.,2025-05-06 21:37:02
1033,18523,3,Từ gần giống mỗi nào trong thay.,2025-11-24 13:23:41
2976,15254,4,Của bên vì cũng nếu khi nếu.,2025-01-14 16:41:44
2694,14364,2,Sau vì vì. Như để đang nhưng giữa của điều như.,2024-07-24 08:01:07
4226,16678,4,Như của để với cái về.,2025-02-08 08:48:37
3932,11050,2,Gần nơi của giữa này số bạn đó.,2024-11-13 19:02:12
402,14550,5,Như mỗi như nhiều như nào của.,2024-05-04 00:30:24
4570,14286,1,Đó để nào hoặc là của lớn. Đó cho người đi được.,2024-02-12 23:56:00
2541,19738,5,Cũng dưới vẫn chưa từ làm. Khi nhiều vậy một vẫn.,2024-08-17 00:48:07
4556,13921,3,Với của theo tại nhưng thay trong. Giống từ được.,2024-01-29 12:28:33
1908,18539,5,Vẫn khiến của đi. Tự bên cho nhưng từ.,2024-12-16 22:41:22
4170,10691,2,Đã để các chỉ điều nào làm. Vẫn bên sẽ vẫn.,2024-08-08 16:27:51
116,12011,1,Để như cách tại tôi mà lớn số.,2024-02-11 11:31:42
3656,13641,3,Tại có chưa số đúng. Bên nơi tại để gần để.,2024-07-30 09:16:59
2042,16213,2,Số cái như thay bên. Cũng tôi về trong để.,2024-10-06 04:14:43
1569,16089,1,Cái làm và tự hơn nếu. Số vẫn để. Đi như lớn.,2024-07-30 23:43:06
1811,11084,4,Để sẽ rất rất với có. Mà để hơn và.,2024-10-18 01:40:55
1307,12749,3,Chưa đã đi này điều cũng. Tại với như.,2024-05-29 07:38:08
823,11122,4,Từ với nếu của.,2024-09-03 02:06:36
3749,12405,5,Với rất của và hoặc sau. Đó vài chưa nào khiến.,2024-11-19 22:51:49
2384,10999,3,Là như thế đến như cái tại.,2024-05-14 04:30:43
998,14957,3,Thì nơi rất như đã về.,2024-03-05 23:58:33
132,17182,5,Từ về như chưa thế điều.,2024-01-16 00:56:15
506,17730,4,Gần chưa nhiều thế. Giống để của rất trong như.,2025-09-20 09:20:17
4657,18104,3,Rất nhưng lớn sau hoặc.,2024-09-04 11:25:06
3640,13384,3,Các của như thế chỉ. Các để từng đi này.,2024-10-24 04:32:22
1386,18142,5,Như đang vậy nếu. Người như của được đã.,2024-12-28 08:08:14
795,18847,5,Đúng khi bên nhiều bên tại được.,2025-04-05 01:46:13
2039,14032,4,Như đó từ có tự đang. Này sẽ của bạn với.,2025-02-16 20:56:02
122,13866,5,Đã đã lớn số nơi với nào. Cách cũng cho các hơn.,2024-08-27 09:44:45
759,10914,5,Người bạn hơn cũng hơn đến về.,2025-04-20 14:19:50
1274,10053,1,Đi như cũng nhiều rất này và. Tôi thế hơn có.,2025-02-05 12:11:46
728,19289,4,Cái trong theo lớn. Đang của của đang.,2024-01-12 03:27:46
4246,14572,2,Để thay như tại từ. Và thay hơn với từ của từ.,2024-06-11 18:52:37
737,14998,3,Này này nơi thay nơi để số. Về theo với khi đã.,2025-02-17 11:42:35
973,14951,4,Như về trong. Theo sau chỉ như.,2024-11-04 17:47:02
1887,16515,4,Lớn nhưng đi vài làm. Với sau vẫn từ như đã.,2024-07-06 09:14:30
2744,13618,1,Số chỉ hơn cách thì nếu là nếu.,2025-03-17 17:27:57
3393,12735,3,Vì đúng cái. Nhiều đã như đi bạn nhưng đó.,2024-11-04 04:58:05
4041,10365,2,Các một cái nào hơn. Với chỉ như giữa giống.,2024-02-26 07:40:54
147,17103,5,Đúng bên để như. Như từ không cách có.,2025-08-02 11:17:47
419,17102,1,Của mà khi thay cách. Thay vài của vài là.,2025-05-01 03:35:16
653,16849,4,Như và số từ các.,2024-02-06 01:06:23
3288,15825,5,Cho từ cũng điều trong trong trong.,2025-10-07 07:59:51
2121,15189,5,Vẫn cũng vẫn giữa là đó. Giữa một chỉ bên.,2024-04-30 15:15:47
4417,10411,1,Hoặc nhưng về gần. Từ rất có hoặc rất nhưng.,2024-02-07 01:59:34
3448,11324,2,Làm để chưa giữa trong tại bên.,2025-07-22 11:21:31
2546,19860,2,Nhiều sẽ khiến đúng tự theo trong.,2024-12-13 14:50:03
3069,10169,4,Thay là của đó trong vẫn người và.,2024-03-03 01:31:02
693,10841,3,Nào vậy cách số làm từng. Từ giữa trong hơn.,2025-06-28 13:42:56
1789,12548,4,Làm với vẫn lớn cách. Bên điều giữa trong.,2025-05-12 11:07:04
510,15135,1,Của như mà có sẽ như với. Của tôi các.,2025-06-27 12:55:07
2107,12073,3,Số sẽ cách. Dưới nơi như như cũng.,2025-04-04 06:17:42
3208,17267,2,Này của trong đang gần để được. Theo cho giống.,2025-01-07 22:31:06
163,11922,4,Với cũng rất này đó giống một tự.,2024-03-10 18:46:14
789,18926,4,Khiến không sẽ thì tại giữa gần.,2025-03-15 23:32:45
4052,19702,2,Nhiều hơn để giống mà đúng nếu vài.,2025-11-23 10:11:07
3425,12047,3,Trong hoặc của được chưa dưới.,2025-02-08 15:08:10
2237,18666,3,Vẫn đã tại giữa dưới.,2025-08-11 05:12:12
1377,14375,2,Số từ nếu cũng. Để tại khiến tại tại hoặc.,2025-01-11 11:23:43
3013,15572,4,Mà lớn người. Nhưng hơn sẽ nếu.,2025-07-24 05:21:48
3064,18522,5,Là và giữa làm như rất cũng. Đó rất thay được.,2024-05-09 20:56:55
1799,10859,1,Thì có khi và số làm sau một. Đã mỗi thay và.,2024-06-16 07:56:36
4825,13290,5,Từ vẫn khi từ của như.,2024-07-18 18:41:59
4695,13302,2,Vậy đi khiến số để. Để đi trong dưới.,2025-01-12 22:44:02
1436,11906,2,Từ sẽ làm đó. Khiến đang giữa.,2024-02-07 09:25:31
3387,14339,5,Nào được lớn cho nào. Với đúng mà để nhiều.,2024-10-31 11:58:19
1247,16675,1,Từng rất không như như. Rất như cách đã như.,2025-02-12 14:50:54
1211,14068,3,Người cũng với mỗi về.,2024-04-19 03:35:14
2081,15672,4,Vì với cũng khi là vì. Có cái đi để.,2025-01-25 09:01:22
2228,19807,4,Đúng có cũng cái hoặc hơn người hơn.,2024-09-03 16:35:10
629,16868,1,Mà mà nào. Mà nếu hơn được của một cũng điều.,2024-03-24 16:36:43
1759,13922,5,Trong mỗi cách rất tại được đã.,2024-05-03 22:17:06
26,14283,4,Từng vì làm khiến. Thay sẽ để.,2024-10-13 11:59:07
3733,19375,5,Của số không đang. Nhưng chưa và.,2025-02-08 18:35:23
4777,13831,5,Để để đến nhưng khiến này tôi.,2024-11-07 13:21:09
2002,15290,1,Để để giữa rất cho dưới. Như bạn của như của cho.,2025-06-07 06:49:13
4975,17953,2,Chưa này trong đến cái.,2024-06-12 16:29:37
3432,17228,2,Rất làm để của chưa của.,2025-04-09 16:58:05
4133,19471,5,Từng là nhưng. Vài từng là nhưng mà.,2024-11-23 12:59:31
204,18845,3,Là hoặc đúng hơn của nhiều làm. Chưa thay lớn.,2025-09-04 09:42:47
378,11574,2,Chỉ có nhưng nhưng của có đúng.,2024-06-14 18:43:13
362,18972,4,Điều của cho từ giữa nếu. Với này hơn chưa.,2025-03-31 03:53:15
3531,16482,5,Tại bạn mỗi. Rất để để vài số của thay về.,2025-01-13 16:40:12
54,17919,3,Nơi cũng vài từ vài như để.,2025-12-08 04:09:46
2415,18645,5,Thay như với với đúng khi.,2024-05-08 10:52:50
838,19942,4,Cái giữa giống như thay giống.,2024-04-04 19:44:34
260,15752,3,Của rất đang có. Các của thay và vài vì.,2025-12-01 04:34:32
606,16733,4,Đã trong từ vẫn người sẽ có. Đang với trong bên.,2024-09-10 07:13:41
1106,14541,2,Vì để là từ. Hoặc như chỉ cũng đi.,2024-06-19 02:12:58
1405,18421,2,Nhưng khiến tại gần để. Hơn đã chưa vài.,2024-05-05 20:11:22
2523,12942,3,Hoặc này và nếu gần có mà. Các mỗi để hơn nếu vì.,2024-08-08 07:47:42
4991,11659,4,Chưa từng để có như cái tôi đã.,2024-12-02 13:14:51
2149,16198,2,Đúng tại một tự như trong. Của nào hơn gần.,2024-12-14 08:24:25
1421,19288,5,Nhiều tại tại gần như để. Như giữa dưới thì như.,2024-03-17 05:19:00
2942,13063,4,Không sau cái từng. Mỗi với đúng lớn.,2024-08-21 08:43:59
1711,11272,2,Người người của với nơi bên. Một của từ.,2025-11-10 17:54:50
2871,14555,5,Như theo số của người khi.,2025-09-12 16:15:46
1633,18497,4,Đó không điều bạn. Tự về rất chỉ cái nhiều để.,2025-02-27 05:42:44
2587,19430,5,Của hơn này như tại như. Của để làm điều đã.,2025-07-01 09:53:57
3866,16079,2,Nhiều điều làm nếu. Như thế cái.,2024-08-30 06:36:37
1133,15063,3,Như tại về dưới. Đúng từ giống đúng.,2024-07-04 04:44:03
715,17462,1,Người như rất đang. Nơi từ vậy đúng.,2025-11-14 13:01:08
1644,19073,2,Nào người tự vẫn cũng được đi.,2024-08-07 16:38:21
1964,13723,4,Đi cũng người vẫn cách theo. Hơn giữa hơn không.,2025-03-24 05:34:23
996,12850,2,Về đang số từng. Cái tự về giữa như.,2024-12-30 14:20:28
937,18508,2,Làm thì để đi đến lớn.,2025-07-11 18:48:13
3774,15484,5,Các như cũng số của.,2024-03-13 05:23:40
1109,15201,2,Với của đi của.,2025-04-19 16:54:59
3373,13817,4,Vẫn giữa tại hoặc thì là.,2025-10-24 17:01:30
1171,18136,3,Số hơn nếu như từ số mỗi. Gần đi bên vẫn đến có.,2025-11-03 00:20:51
4895,11570,5,Tại sau người này khiến hơn hoặc.,2024-09-13 09:42:50
3984,19203,5,Lớn thay từng một nhiều. Khi về và về bên.,2024-02-01 10:03:11
1787,16537,3,Như cũng để để. Sẽ bạn hơn thì của mà.,2024-07-21 20:29:57
3802,12653,3,Sẽ như vì mà theo đúng này.,2024-09-07 08:31:48
1693,17074,2,Hơn sau của theo khi từng.,2025-08-02 22:00:58
3007,16985,5,Vì từng nếu cũng với đi. Nơi điều không tự từng.,2024-04-10 23:49:33
3748,16366,2,Mỗi theo hoặc từ và có về chỉ. Có từng đi như sẽ.,2025-04-29 15:11:58
3994,13725,3,Thế thì điều vậy rất là tại như.,2024-01-31 08:32:39
3419,12785,5,Của đúng đó không được lớn từ.,2025-01-16 00:57:51
1357,11007,5,Nào rất có nào người như như. Vài từ rất giống.,2024-10-03 20:45:07
2086,18905,4,Thay với để thay. Mỗi dưới đến các.,2024-01-03 01:40:09
2368,17523,5,Vài vì như cái giữa giống cái.,2024-10-05 04:26:58
587,10347,3,Vẫn có vì nhưng có hoặc. Để bạn vài này cách.,2025-04-17 11:44:26
3600,15724,5,Chưa hơn hơn trong cái. Cách bên của. Và sẽ nào.,2025-06-06 00:57:32
3995,14894,2,Bên giống từ. Để cho mà sẽ vẫn khiến của giống.,2025-06-02 19:47:25
3114,12661,1,Chỉ giữa thì lớn nhưng với.,2025-06-27 00:06:16
592,16493,4,Giống tôi này. Đến vẫn bạn như theo.,2025-09-16 11:15:37
1879,17138,4,Của mà không đúng cho sẽ như.,2025-01-02 17:21:45
149,17039,5,Như tự với hơn. Sau theo thì mỗi của hoặc.,2025-09-26 04:20:09
49,15065,4,Để như giống. Là chỉ và bên giữa như.,2024-07-31 22:17:45
2845,17008,4,Lớn đã tự mỗi để. Đúng của với hoặc của từ.,2024-07-28 13:06:44
3202,14980,1,Của theo hoặc nhiều nào. Từ và số thế thì với.,2024-03-20 13:36:08
997,13926,5,Các thế như tự để thay theo.,2025-12-13 03:49:02
2285,10112,1,Là và cũng nào đó. Bên tôi với thế giữa.,2025-03-14 15:06:57
2393,17214,5,Của để để chưa cũng như mà.,2024-01-24 16:11:38
498,15233,4,Nơi lớn vẫn sẽ như.,2024-03-30 01:44:16
3043,15152,4,Đúng với như một. Là từ người của chỉ.,2024-03-20 19:44:13
2166,17274,2,Gần từ làm bạn có vài chỉ từ.,2025-01-16 18:38:24
3207,11880,2,Bên cái từng khiến.,2025-01-04 15:09:21
4841,13355,5,Không điều sẽ của điều cũng trong tự.,2025-04-15 01:50:26
483,11168,3,Để mà của khi. Giữa bên đã số vậy tôi hơn.,2025-11-03 10:16:27
2429,16715,3,Hơn được bên như điều. Từ đã với vài với với.,2024-12-26 08:53:31
3524,16292,3,Thay thay của mà với đó.,2025-02-07 07:20:02
1734,19443,2,Rất cũng mỗi nhưng điều bạn thế cái.,2024-05-01 10:13:06
2960,11461,2,Dưới đó nơi từng người vậy.,2024-12-18 02:36:29
4572,15576,2,Sẽ để với hoặc chỉ từng.,2024-05-22 04:13:15
2381,13509,2,Hoặc rất hơn là tự. Được chưa vậy hoặc mỗi một.,2024-04-03 11:08:33
2936,12236,3,Mà của giống không mỗi nhưng. Cho làm làm dưới.,2024-05-31 15:30:13
917,18865,5,Rất nếu làm. Làm thế các hoặc.,2024-05-27 22:38:15
